,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
224,8900,2017-01-10,08:00,14.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
225,8899,2017-01-10,09:00,11.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
226,8898,2017-01-10,10:00,12.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
227,8897,2017-01-10,11:00,13.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
228,8896,2017-01-10,12:00,10.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
229,8895,2017-01-10,13:00,9.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
230,8894,2017-01-10,14:00,9.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
231,8893,2017-01-10,15:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
232,8892,2017-01-10,16:00,3.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
233,8891,2017-01-10,17:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
234,8890,2017-01-10,18:00,5.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
235,8889,2017-01-10,19:00,6.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
236,8888,2017-01-10,20:00,6.2,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
237,8887,2017-01-10,21:00,8.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
238,8886,2017-01-10,22:00,6.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
239,8885,2017-01-10,23:00,4.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
240,8884,2017-01-11,00:00,1.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
241,8883,2017-01-11,01:00,-0.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
242,8882,2017-01-11,02:00,2.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
243,8881,2017-01-11,03:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
244,8880,2017-01-11,04:00,4.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
245,8879,2017-01-11,05:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
246,8878,2017-01-11,06:00,4.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
247,8877,2017-01-11,07:00,3.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
248,8876,2017-01-11,08:00,2.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
249,8875,2017-01-11,09:00,4.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
250,8874,2017-01-11,10:00,5.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
251,8873,2017-01-11,11:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
252,8872,2017-01-11,12:00,9.9,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
253,8871,2017-01-11,13:00,11.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
254,8870,2017-01-11,14:00,11.3,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
255,8869,2017-01-11,15:00,11.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
256,8868,2017-01-11,16:00,17.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
257,8867,2017-01-11,17:00,14.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
